hmset;info_civil0001;nom;benali;prenom;ali;dateN;12/10/2019;lieuN;Mila;sexe;homme;groupage;A+;autorite;Mila;dateD;12/03/2015;dateE;12/03/2025
hmset;info_civil0002;nom;benhadil;prenom;hadil;dateN;12/04/1980;lieuN;Condtantine;sexe;femme;groupage;A+;autorite;Condtantine;dateD;13/03/2014;dateE;13/03/2024
hmset;info_civil0003;nom;benyoucef;prenom;youcef;dateN;15/07/2002;lieuN;alger;sexe;homme;groupage;A+;autorite;alger;dateD;16/03/2015;dateE;16/03/2025
hmset;info_civil0004;nom;benhakim;prenom;hakim;dateN;17/05/2002;lieuN;alger;sexe;homme;groupage;A+;autorite;alger;dateD;17/03/2015;dateE;17/03/2025
hmset;info_civil0005;nom;benjmila;prenom;djamel;dateN;21/04/2002;lieuN;alger;sexe;homme;groupage;A+;autorite;alger;dateD;18/03/2015;dateE;18/03/2025
hmset;info_civil0006;nom;hamida;prenom;ahmed;dateN;23/02/1959;lieuN;adrar;sexe;homme;groupage;A+;autorite;adrar;dateD;19/03/2015;dateE;19/03/2025
hmset;info_civil0007;nom;benimad;prenom;imed;dateN;15/01/1989;lieuN;mila;sexe;homme;groupage;A+;autorite;mila;dateD;20/03/2015;dateE;20/03/2025
hmset;info_civil0008;nom;bennja;prenom;nadjoua;dateN;04/04/1999;lieuN;mila;sexe;femme;groupage;A+;autorite;mila;dateD;23/03/2015;dateE;23/03/2025
hmset;info_civil0009;nom;karimi;prenom;ikram;dateN;05/04/2010;lieuN;annaba;sexe;femme;groupage;A+;autorite;annaba;dateD;24/03/2015;dateE;24/03/2025
hmset;info_civil0010;nom;ftiman;prenom;fatima;dateN;04/07/2004;lieuN;jijel;sexe;femme;groupage;A+;autorite;jijel;dateD;25/03/2015;dateE;25/03/2025
hmset;info_civil0011;nom;benyasser;prenom;yasser;dateN;02/10/1970;lieuN;skikda;sexe;homme;groupage;A+;autorite;skikda;dateD;26/03/2020;dateE;26/03/2030
hmset;info_civil0012;nom;belmaki;prenom;elmaki;dateN;10/12/1978;lieuN;constantine;sexe;homme;groupage;A+;autorite;constantine;dateD;27/03/2015;dateE;27/03/2025
hmset;info_civil0013;nom;benjawed;prenom;jwad;dateN;09/09/2003;lieuN;oran;sexe;homme;groupage;A+;autorite;oran;dateD;30/03/2016;dateE;30/03/2026
hmset;info_civil0014;nom;mostfaoui;prenom;moustapha;dateN;13/05/1982;lieuN;setif;sexe;homme;groupage;A+;autorite;setif;dateD;31/03/2015;dateE;31/03/2025
hmset;info_civil0015;nom;bousamir;prenom;samir;dateN;12/12/1997;lieuN;oran;sexe;homme;groupage;A+;autorite;oran;dateD;01/04/2015;dateE;01/04/2025
hmset;info_civil0016;nom;benamir;prenom;amir;dateN;08/08/1998;lieuN;skikda;sexe;homme;groupage;A+;autorite;skikda;dateD;02/04/2018;dateE;02/04/2028
hmset;info_civil0017;nom;benabdallh;prenom;abellah;dateN;19/03/2001;lieuN;skikda;sexe;homme;groupage;A+;autorite;skikda;dateD;03/04/2015;dateE;03/04/2025
hmset;info_civil0018;nom;benssalah;prenom;salah;dateN;11/05/1974;lieuN;annaba;sexe;homme;groupage;A+;autorite;annaba;dateD;06/04/2015;dateE;06/04/2025
hmset;info_civil0019;nom;benbrahimi;prenom;ibrahim;dateN;06/10/1961;lieuN;adrar;sexe;homme;groupage;A+;autorite;adrar;dateD;07/04/2015;dateE;07/04/2025
hmset;info_civil0020;nom;benchahinez;prenom;chahinez;dateN;01/01/1945;lieuN;adrar;sexe;femme;groupage;A+;autorite;adrar;dateD;07/05/2015;dateE;07/05/2025
hmset;info_civil0021;nom;belmohsen;prenom;mohsen;dateN;01/01/1943;lieuN;adrar;sexe;homme;groupage;A+;autorite;adrar;dateD;25/06/2017;dateE;25/06/2027
hmset;info_civil0022;nom;boulouiza;prenom;louiza;dateN;12/05/2016;lieuN;adrar;sexe;femme;groupage;A+;autorite;adrar;dateD;07/07/2015;dateE;07/07/2025
hmset;info_civil0023;nom;benhizia;prenom;hizia;dateN;11/11/1975;lieuN;jijel;sexe;femme;groupage;A+;autorite;jijel;dateD;15/08/2015;dateE;15/08/2025
hmset;info_civil0024;nom;boumassouda;prenom;massouda;dateN;31/05/1956;lieuN;jijel;sexe;femme;groupage;A-;autorite;jijel;dateD;17/09/2016;dateE;17/09/2026
